emp_no,first_name,last_name,gender,hire_date,salary,title,from_date,to_date
50814,Aamer,Daescu,M,1988-09-16,49220,Senior Engineer,1988-09-16,9999-01-01
61761,Aamer,Feinberg,F,1985-08-21,45996,Senior Staff,1999-11-03,9999-01-01
210129,Aamer,Frijda,F,1986-11-06,40000,Senior Engineer,1995-11-06,9999-01-01
466972,Aamer,Haldar,F,1988-03-25,46892,Senior Engineer,1996-03-25,9999-01-01
299725,Aamer,Holburn,M,1988-12-08,40231,Senior Engineer,1996-12-08,9999-01-01
205248,Aamer,Imataki,F,1988-08-24,40000,Senior Engineer,1994-08-24,9999-01-01
262801,Aamer,Krider,M,1988-04-02,40000,Senior Engineer,2000-08-14,9999-01-01
103641,Aamer,Loncour,M,1987-06-14,56711,Engineer,1996-03-19,9999-01-01
100534,Aamer,Luga,F,1986-10-13,95161,Staff,1996-04-08,9999-01-01
41743,Aamer,Lunt,M,1988-05-22,48669,Senior Engineer,1988-05-22,9999-01-01
39647,Aamer,Massonet,F,1985-03-12,55875,Engineer,1996-11-26,9999-01-01
220170,Aamer,McFarlan,M,1987-10-01,51722,Senior Engineer,1996-09-30,9999-01-01
101778,Aamer,Peha,F,1986-12-26,40000,Senior Engineer,2000-09-12,9999-01-01
88788,Aamer,Picel,M,1988-10-10,40000,Senior Staff,1988-10-10,9999-01-01
223399,Aamer,Radivojevic,M,1988-06-18,45792,Engineer,1999-11-07,9999-01-01
491629,Aamer,Schapiro,M,1988-06-22,81500,Senior Engineer,1999-08-23,9999-01-01
74202,Aamer,Schneeberger,M,1987-10-15,48172,Senior Engineer,1993-10-14,9999-01-01
61415,Aamer,Schwartzbauer,M,1986-04-21,83124,Staff,1997-04-30,9999-01-01
255361,Aamer,Spell,F,1986-09-19,40000,Assistant Engineer,1995-08-21,9999-01-01
272876,Aamer,Standera,M,1985-12-30,40000,Senior Staff,1991-12-30,9999-01-01
282485,Aamer,Strandh,M,1986-03-14,40000,Senior Engineer,1991-03-14,9999-01-01
23269,Aamer,Szmurlo,M,1988-05-25,49962,Senior Engineer,1988-05-25,9999-01-01
235609,Aamer,Talmor,M,1985-03-11,53897,Senior Staff,1992-03-11,9999-01-01
70791,Aamod,Avouris,M,1986-12-28,51105,Senior Engineer,1994-09-24,9999-01-01
44610,Aamod,Cronan,F,1987-05-27,56065,Senior Engineer,1997-02-10,9999-01-01
479463,Aamod,Isard,F,1985-04-21,49481,Technique Leader,1992-03-25,9999-01-01
276240,Aamod,Kitsuregawa,F,1987-02-07,40000,Senior Engineer,1996-08-15,9999-01-01
260969,Aamod,Leuchs,M,1987-08-05,40000,Senior Staff,1995-08-05,9999-01-01
247408,Aamod,Perez,F,1987-11-06,54944,Senior Engineer,1993-11-05,9999-01-01
75166,Aamod,Snyers,M,1988-03-09,71375,Engineer,1996-11-14,9999-01-01
494473,Aamod,Suri,F,1986-07-05,59639,Senior Engineer,2000-07-05,9999-01-01
76816,Aamod,Terlouw,M,1985-12-04,42142,Engineer,1996-03-18,9999-01-01
292331,Aamod,Vesna,M,1987-02-02,55580,Engineer,1998-03-05,9999-01-01
270783,Aamod,Vilarrasa,M,1987-08-24,62493,Staff,1998-02-24,9999-01-01
